descriptor,model,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2
morgan_r2_bits_512,rf,0.8688256555581848,0.00998788509997984,0.665000381890398,0.009000257702896888,0.39774720182899326,0.031906021157182655
morgan_r2_count_2048,elasticnet,0.8700758749511556,0.0325978682223177,0.6664781413089539,0.020634469005455142,0.39729921382452055,0.019864581474174737
morgan_r1_count_512,ridge,0.8709466541189184,0.0629398995901998,0.6227551965915503,0.010054181357545168,0.3957385402581434,0.06049089111814968
atom_pair_bits_512,svr,0.8714185733104494,0.021042386973572937,0.645510810567291,0.01919225515782051,0.39515375650925505,0.01186828794991246
atom_pair_bits_512,hgb,0.872641730692863,0.012963483119356524,0.6605697170603477,0.015841964058192628,0.39310712642607293,0.017210934952480248
atom_pair_count_1024,elasticnet,0.8734470997192275,0.03304718390258835,0.6753222426349176,0.02174758779481575,0.39259664056215104,0.021192519763930162
morgan_r2_count_512,ridge,0.8735512404502259,0.033747874618721765,0.6498726815569432,0.012847201736380062,0.392394858992496,0.02327389094608207
morgan_r1_bits_1024,elasticnet,0.8773232495528129,0.019541004954621518,0.6779006211176524,0.017774233708406265,0.38694889614839934,0.0072321926913287305
morgan_r2_bits_2048,elasticnet,0.8781500538342527,0.019714337121009326,0.6774505628547652,0.019119196359620425,0.3858108446857927,0.006022411045398765
rdkit_bits_2048,rf,0.8782911666082495,0.011229439341615077,0.6856452269952827,0.009693258555208627,0.3848397604337877,0.027079718111996127
morgan_r2_count_1024,elasticnet,0.8805077738556235,0.030469710646651296,0.6795065080571181,0.018821709899787546,0.38275822560294415,0.016028376662563047
morgan_r1_count_512,elasticnet,0.8805343482440803,0.029162623610099917,0.6749994223351137,0.016280187409988548,0.3826343820219986,0.01711037956361016
morgan_r2_bits_512,ridge,0.8819445418324964,0.027914045557439926,0.679710865908573,0.019959221022033933,0.3794052143394623,0.04204609979786588
torsion_count_2048,rf,0.8830968821413674,0.012808392014258874,0.6709744784314969,0.010470152620510615,0.37774735462129366,0.03392146377955679
torsion_bits_2048,rf,0.8843685483035133,0.014363380470541313,0.6816799864223977,0.016189958360907204,0.37645308378707965,0.02513767273188116
atom_pair_bits_1024,rf,0.8855756112429644,0.013640357461126986,0.6802843701465628,0.016139502558716483,0.37467540585506176,0.026606288174970856
torsion_bits_512,rf,0.8869748329416186,0.009770924017575693,0.6946361931107801,0.009042202020251588,0.37268318002621603,0.0249314468386667
torsion_count_512,rf,0.8871620793181128,0.014198525110679965,0.6829494870513801,0.01620538392699898,0.37250636019381045,0.025240668979061406
morgan_r1_bits_1024,ridge,0.8878009560153949,0.012691887385471574,0.6645728993308657,0.007627998500457617,0.37173243650637555,0.020876967299471062
torsion_bits_1024,rf,0.8883663684073717,0.011838106343761316,0.6908228809979393,0.011555336388600256,0.3702313261084675,0.03573893942048638
torsion_count_1024,rf,0.8886053003918633,0.0163236309498018,0.6816690069120513,0.015023569254132724,0.37014508684813163,0.0330609983187483
morgan_r1_bits_512,elasticnet,0.8903491438312308,0.01851240280386803,0.6896230055590272,0.016606860899020442,0.36841743484815404,0.015839129715280984
rdkit_bits_1024,rf,0.8932123113527748,0.012000348852721235,0.6903050413110343,0.009358908014630065,0.36384013802562887,0.02635067684586364
rdkit_bits_2048,elasticnet,0.8972063535488207,0.017450566403847397,0.6928516431576272,0.01643360755046614,0.3585652483326066,0.01791111430992438
morgan_r2_count_512,elasticnet,0.8988872224056405,0.030428851744922734,0.6934078477231864,0.01787776072725672,0.35672068795512535,0.015387304326304333
rdkit_bits_512,svr,0.9019083697520521,0.017138193688247923,0.6696281055106871,0.013156442448670844,0.3508572081391545,0.040019070850062906
atom_pair_count_512,elasticnet,0.9023942541068658,0.03443123677532588,0.6999957976443127,0.02085112587076552,0.35138191353268067,0.03045721247474213
morgan_r2_bits_1024,elasticnet,0.9050970764096109,0.020825956465852332,0.7045764599559406,0.01982482897444862,0.34744804038456556,0.013442711071137226
rdkit_phys_props,ridge,0.9064427570276002,0.030419629651495413,0.68025220654067,0.019272245893857527,0.3453172497945388,0.0310781374166693
rdkit_bits_512,hgb,0.9083906025127476,0.026635472915886468,0.6904699879753469,0.021101594411046816,0.3412989315925804,0.048162911866456534
atom_pair_bits_1024,elasticnet,0.9086250970476286,0.020500028410941104,0.6994601714380151,0.01992793391535156,0.3422200174690396,0.01842664299656761
atom_pair_bits_512,rf,0.9098692783047675,0.020292202656118273,0.7024571021172336,0.019796053517595932,0.3402240299905599,0.02456736897421114
rdkit_bits_1024,elasticnet,0.910042553687707,0.016716392779823137,0.6967216528049562,0.01656348542332257,0.34014420325116684,0.014848328527481476
morgan_r0_count_1024,ridge,0.9113532732837963,0.0506102316874036,0.6757877466199731,0.01740365917047675,0.3387589869468403,0.04354097049878209
morgan_r0_count_2048,ridge,0.9113532732837963,0.05061023168740358,0.6757877466199731,0.017403659170476767,0.33875898694684026,0.04354097049878208
morgan_r2_bits_1024,ridge,0.912531760234427,0.026393668286530687,0.7069103405422037,0.017664005870124753,0.3357636417695805,0.04131781203733374
